Datetime,Buyexchange,Sellexchange,Currency,Result
Oct 04 2019 03:15:50 PM,okex3,upbit,VITE/BTC,null
Oct 04 2019 03:17:33 PM,latoken,crex24,VGW/BTC,success
Oct 04 2019 03:51:32 PM,bibox,latoken,CPC/BTC,null
Oct 04 2019 04:32:24 PM,bibox,latoken,CPC/BTC,success
Oct 04 2019 04:57:23 PM,hitbtc2,bittrex,AEON/BTC,success
Oct 04 2019 04:59:20 PM,coss,bitz,EDC/BTC,success
Oct 04 2019 05:15:36 PM,bibox,latoken,CPC/BTC,fail
Oct 04 2019 07:06:27 PM,binance,tidex,BNT/BTC,fail
Oct 04 2019 07:20:32 PM,okex3,livecoin,R/BTC,fail
Oct 04 2019 07:32:12 PM,okex3,livecoin,R/BTC,fail
Oct 06 2019 11:16:34 AM,bittrex,tidex,BNT/BTC,success
Oct 06 2019 11:24:25 AM,bittrex,livecoin,DRGN/BTC,success
Oct 06 2019 01:57:43 PM,bittrex,livecoin,MTL/BTC,fail
Oct 06 2019 02:00:05 PM,livecoin,btcalpha,PZM/BTC,success
Oct 06 2019 02:25:07 PM,binance,bittrex,ZIL/BTC,null
Oct 06 2019 02:29:39 PM,hitbtc2,bittrex,AEON/BTC,success
Oct 06 2019 02:29:54 PM,okex3,upbit,VITE/BTC,null
Oct 06 2019 02:48:01 PM,crex24,acx,LOG/BTC,success
Oct 06 2019 03:31:37 PM,crex24,acx,LOG/BTC,success
Oct 06 2019 03:48:32 PM,cex,bigone,ONG/BTC,fail
Oct 06 2019 03:51:49 PM,bitbay,hitbtc2,NEU/BTC,fail
Oct 06 2019 04:36:48 PM,bigone,oceanex,IOST/BTC,success
Oct 06 2019 04:37:10 PM,bittrex,coinfalcon,DOGE/BTC,success
Oct 06 2019 06:30:51 PM,bittrex,coinfalcon,DOGE/BTC,success
Oct 06 2019 06:31:02 PM,exmo,digifinex,ETZ/BTC,success
Oct 06 2019 06:41:43 PM,digifinex,bitforex,UND/BTC,fail
Oct 06 2019 06:43:16 PM,hitbtc2,coinfalcon,DOGE/BTC,fail
Oct 06 2019 07:15:45 PM,digifinex,bitforex,UND/BTC,success
Oct 06 2019 07:54:42 PM,btcalpha,latoken,AGLT/BTC,success
Oct 06 2019 08:22:27 PM,huobipro,bitmart,MT/BTC,fail
Oct 07 2019 05:20:34 AM,bittrex,southxchange,XHV/BTC,null
Oct 07 2019 05:23:47 AM,huobipro,bitmart,MT/BTC,success
Oct 07 2019 05:29:39 AM,bibox,livecoin,EOSDAC/BTC,success
Oct 07 2019 05:29:59 AM,tidex,crex24,DMME/BTC,fail
Oct 07 2019 05:38:55 AM,huobipro,tidex,AE/BTC,null
Oct 07 2019 05:39:02 AM,bittrex,coinfalcon,XRP/BTC,success
Oct 07 2019 05:40:42 AM,huobipro,coinegg,UIP/BTC,fail
Oct 07 2019 05:57:40 AM,upbit,tidex,BNT/BTC,fail
Oct 07 2019 06:03:51 AM,tidex,crex24,DMME/BTC,success
Oct 07 2019 06:43:35 AM,kucoin,bitforex,BOS/BTC,fail
Oct 07 2019 06:46:47 AM,cex,bigone,ONG/BTC,fail
Oct 07 2019 07:58:00 PM,bittrex,coinfalcon,XRP/BTC,success
Oct 07 2019 08:05:15 PM,cex,bigone,ONG/BTC,success
Oct 07 2019 08:16:36 PM,digifinex,bitforex,UND/BTC,success
Oct 07 2019 08:18:58 PM,bitz,bitforex,WWB/BTC,success
Oct 07 2019 09:14:04 PM,huobipro,bitmart,MT/BTC,success
Oct 07 2019 09:15:05 PM,livecoin,exmo,ROOBEE/BTC,fail
Oct 07 2019 10:49:52 PM,btcalpha,crex24,WIX/BTC,success
Oct 07 2019 10:50:16 PM,crex24,latoken,MAC/BTC,success
Oct 07 2019 10:56:06 PM,southxchange,hitbtc2,SC/BTC,success
Oct 07 2019 11:04:23 PM,exmo,digifinex,ETZ/BTC,success
Oct 07 2019 11:04:59 PM,huobipro,coinegg,FTI/BTC,success
Oct 07 2019 11:16:37 PM,btcalpha,crex24,WIX/BTC,fail
Oct 07 2019 11:22:23 PM,binance,oceanex,IOST/BTC,fail
Oct 07 2019 11:55:08 PM,cex,digifinex,ONG/BTC,success
Oct 07 2019 11:55:37 PM,exmo,digifinex,ETZ/BTC,success
Oct 08 2019 12:04:46 AM,hitbtc2,tidex,SUB/BTC,success
Oct 08 2019 12:10:27 AM,digifinex,bitforex,UND/BTC,success
Oct 08 2019 12:19:26 AM,livecoin,coinbasepro,DASH/BTC,null
Oct 08 2019 12:22:51 AM,huobipro,hitbtc2,BLZ/BTC,success
Oct 08 2019 12:34:05 AM,exmo,digifinex,ETZ/BTC,success
Oct 08 2019 12:46:25 AM,southxchange,hitbtc2,SC/BTC,fail
Oct 08 2019 12:54:45 AM,exmo,digifinex,ETZ/BTC,success
Oct 08 2019 12:56:08 AM,tidex,btcalpha,REM/BTC,success
Oct 08 2019 01:14:44 AM,exmo,digifinex,ETZ/BTC,success
Oct 08 2019 01:23:00 AM,southxchange,coinbasepro,DASH/BTC,success
Oct 08 2019 01:37:59 AM,kuna,kucoin,HKN/BTC,success
Oct 08 2019 01:54:32 PM,bitz,lbank,KBC/BTC,success
Oct 08 2019 02:02:41 PM,huobipro,hitbtc2,CVCOIN/BTC,null
Oct 08 2019 02:02:59 PM,cex,bigone,ONG/BTC,success
Oct 08 2019 02:03:16 PM,kucoin,livecoin,TIME/BTC,fail
Oct 08 2019 02:20:34 PM,bitz,lbank,KBC/BTC,success
Oct 08 2019 02:21:01 PM,btcalpha,tidex,VEST/BTC,success
Oct 08 2019 02:27:29 PM,cex,bigone,ONG/BTC,success
Oct 08 2019 02:43:36 PM,kucoin,crex24,ENQ/BTC,fail
Oct 08 2019 02:58:34 PM,kucoin,bleutrade,DASH/BTC,success
Oct 08 2019 03:03:27 PM,bitforex,bitz,KBC/BTC,success
Oct 08 2019 03:06:19 PM,cex,binance,ONG/BTC,success
Oct 08 2019 03:09:46 PM,livecoin,upbit,SIB/BTC,fail
Oct 08 2019 10:23:48 PM,crex24,btcalpha,WIX/BTC,fail
Oct 08 2019 10:34:45 PM,poloniex,upbit,GAME/BTC,success
Oct 08 2019 10:36:45 PM,crex24,livecoin,WGR/BTC,success
Oct 08 2019 10:37:44 PM,livecoin,crex24,GEX/BTC,success
Oct 08 2019 10:38:24 PM,livecoin,exmo,ROOBEE/BTC,success
Oct 08 2019 10:40:40 PM,bitforex,binance,BNB/BTC,success
Oct 08 2019 10:49:29 PM,poloniex,upbit,LBC/BTC,fail
Oct 08 2019 10:53:57 PM,poloniex,binance,NAV/BTC,success
Oct 08 2019 10:59:25 PM,livecoin,exmo,ROOBEE/BTC,fail
Oct 08 2019 11:14:10 PM,bitz,bitforex,WWB/BTC,success
Oct 08 2019 11:14:26 PM,hitbtc2,bittrex,AEON/BTC,fail
Oct 08 2019 11:14:49 PM,bitforex,kucoin,BNB/BTC,success
Oct 08 2019 11:21:09 PM,huobipro,digifinex,GNX/BTC,success
Oct 09 2019 02:32:11 PM,bittrex,southxchange,BAT/BTC,success
Oct 09 2019 02:45:44 PM,digifinex,bitforex,MESG/BTC,success
Oct 09 2019 02:46:03 PM,bittrex,digifinex,ELF/BTC,success
Oct 09 2019 02:59:20 PM,bittrex,kraken,SC/BTC,success
Oct 09 2019 03:00:07 PM,digifinex,bitforex,MESG/BTC,success
Oct 09 2019 03:02:43 PM,crex24,livecoin,XSPEC/BTC,success
Oct 09 2019 03:03:34 PM,livecoin,bitbay,GAME/BTC,success
Oct 09 2019 03:26:25 PM,livecoin,exmo,MNX/BTC,fail
Oct 09 2019 03:28:01 PM,binance,southxchange,XMR/BTC,fail
Oct 09 2019 03:32:01 PM,livecoin,crex24,EMC/BTC,fail
Oct 09 2019 03:34:44 PM,bitz,btcalpha,DOGE/BTC,success
Oct 09 2019 03:43:56 PM,kucoin,cex,MHC/BTC,fail
Oct 09 2019 03:55:37 PM,huobipro,hitbtc2,WTC/BTC,success
Oct 09 2019 04:14:56 PM,binance,kraken,SC/BTC,fail
Oct 09 2019 04:18:17 PM,bitz,bitforex,WWB/BTC,fail
